Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Midtrans-Sofie,Chrome 91.0.4472.164,,,2021-07-26 22:56:14,2021-07-26 22:58:46,2m - 32.080s,FAILED
,,,,,,,
Test Cases/Midtrans001-Positive,Chrome 91.0.4472.164,,,2021-07-26 22:56:15,2021-07-26 22:56:27,11.769s,PASSED
"openBrowser("""")",Chrome 91.0.4472.164,,,2021-07-26 22:56:16,2021-07-26 22:56:24,7.978s,PASSED
maximizeWindow(),Chrome 91.0.4472.164,,,2021-07-26 22:56:24,2021-07-26 22:56:25,0.293s,PASSED
navigateToUrl(baseURL),Chrome 91.0.4472.164,,,2021-07-26 22:56:25,2021-07-26 22:56:27,2.287s,PASSED
,,,,,,,
Test Cases/Sofie-Case-Positive,Chrome 91.0.4472.164,,,2021-07-26 22:56:27,2021-07-26 22:58:46,2m - 19.346s,FAILED
"data = findTestData(""midtrans-sofie/midtrans sofie"")",Chrome 91.0.4472.164,,,2021-07-26 22:56:29,2021-07-26 22:56:30,1.207s,PASSED
"for ([rowlogin = 1, rowlogin <= data.getRowNumbers(), (rowlogin++)])",Chrome 91.0.4472.164,,,2021-07-26 22:56:30,2021-07-26 22:58:46,2m - 16.484s,FAILED
