Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Midtrans-Sofie,Chrome 91.0.4472.164,,,2021-07-26 20:31:01,2021-07-26 20:32:01,1m - 0.555s,FAILED
,,,,,,,
Test Cases/Midtrans001-Positive,Chrome 91.0.4472.164,,,2021-07-26 20:31:02,2021-07-26 20:31:25,22.839s,PASSED
"openBrowser("""")",Chrome 91.0.4472.164,,,2021-07-26 20:31:06,2021-07-26 20:31:17,11.195s,PASSED
maximizeWindow(),Chrome 91.0.4472.164,,,2021-07-26 20:31:17,2021-07-26 20:31:17,0.254s,PASSED
navigateToUrl(baseURL),Chrome 91.0.4472.164,,,2021-07-26 20:31:17,2021-07-26 20:31:25,8.318s,PASSED
,,,,,,,
Test Cases/Sofie-Case-Positive,Chrome 91.0.4472.164,,,2021-07-26 20:31:26,2021-07-26 20:32:01,35.323s,FAILED
"data = findTestData(""midtrans-sofie/TestData-Sofie"")",Chrome 91.0.4472.164,,,2021-07-26 20:31:28,2021-07-26 20:31:31,3.021s,PASSED
"for ([rowlogin = 1, rowlogin <= data.getRowNumbers(), (rowlogin++)])",Chrome 91.0.4472.164,,,2021-07-26 20:31:31,2021-07-26 20:32:01,30.522s,FAILED
