Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Midtrans-Sofie,Chrome 91.0.4472.164,,,2021-07-26 22:49:07,2021-07-26 22:49:58,51.086s,FAILED
,,,,,,,
Test Cases/Midtrans001-Positive,Chrome 91.0.4472.164,,,2021-07-26 22:49:08,2021-07-26 22:49:18,10.113s,PASSED
"openBrowser("""")",Chrome 91.0.4472.164,,,2021-07-26 22:49:09,2021-07-26 22:49:14,5.663s,PASSED
maximizeWindow(),Chrome 91.0.4472.164,,,2021-07-26 22:49:14,2021-07-26 22:49:15,0.213s,PASSED
navigateToUrl(baseURL),Chrome 91.0.4472.164,,,2021-07-26 22:49:15,2021-07-26 22:49:18,3.476s,PASSED
,,,,,,,
Test Cases/Sofie-Case-Positive,Chrome 91.0.4472.164,,,2021-07-26 22:49:18,2021-07-26 22:49:58,40.229s,FAILED
"data = findTestData(""midtrans-sofie/midtrans sofie"")",Chrome 91.0.4472.164,,,2021-07-26 22:49:19,2021-07-26 22:49:20,1.066s,PASSED
"for ([rowlogin = 1, rowlogin <= data.getRowNumbers(), (rowlogin++)])",Chrome 91.0.4472.164,,,2021-07-26 22:49:20,2021-07-26 22:49:58,38.004s,FAILED
