Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Midtrans-Sofie,Chrome 91.0.4472.164,,,2021-07-26 21:27:17,2021-07-26 21:28:07,50.484s,FAILED
,,,,,,,
Test Cases/Midtrans001-Positive,Chrome 91.0.4472.164,,,2021-07-26 21:27:17,2021-07-26 21:27:27,9.568s,PASSED
"openBrowser("""")",Chrome 91.0.4472.164,,,2021-07-26 21:27:18,2021-07-26 21:27:22,4.638s,PASSED
maximizeWindow(),Chrome 91.0.4472.164,,,2021-07-26 21:27:22,2021-07-26 21:27:23,0.227s,PASSED
navigateToUrl(baseURL),Chrome 91.0.4472.164,,,2021-07-26 21:27:23,2021-07-26 21:27:27,4.064s,PASSED
,,,,,,,
Test Cases/Sofie-Case-Positive,Chrome 91.0.4472.164,,,2021-07-26 21:27:27,2021-07-26 21:28:07,40.361s,FAILED
"data = findTestData(""midtrans-sofie/midtrans sofie"")",Chrome 91.0.4472.164,,,2021-07-26 21:27:28,2021-07-26 21:27:29,1.063s,PASSED
"for ([rowlogin = 1, rowlogin <= data.getRowNumbers(), (rowlogin++)])",Chrome 91.0.4472.164,,,2021-07-26 21:27:29,2021-07-26 21:28:07,38.211s,FAILED
