Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Midtrans,Chrome 91.0.4472.164,,,2021-07-23 21:26:19,2021-07-23 21:28:06,1m - 46.746s,PASSED
,,,,,,,
Test Cases/Midtrans001-Positive,Chrome 91.0.4472.164,,,2021-07-23 21:26:19,2021-07-23 21:26:26,6.912s,PASSED
"openBrowser("""")",Chrome 91.0.4472.164,,,2021-07-23 21:26:20,2021-07-23 21:26:24,4.090s,PASSED
maximizeWindow(),Chrome 91.0.4472.164,,,2021-07-23 21:26:24,2021-07-23 21:26:24,0.292s,PASSED
navigateToUrl(baseURL),Chrome 91.0.4472.164,,,2021-07-23 21:26:24,2021-07-23 21:26:26,1.903s,PASSED
,,,,,,,
Test Cases/Midtrans002-Positive,Chrome 91.0.4472.164,,,2021-07-23 21:26:26,2021-07-23 21:26:30,4.111s,PASSED
"click(findTestObject(""btn-buy-now""))",Chrome 91.0.4472.164,,,2021-07-23 21:26:27,2021-07-23 21:26:28,0.502s,PASSED
"verifyMatch(actual, expected, false)",Chrome 91.0.4472.164,,,2021-07-23 21:26:28,2021-07-23 21:26:28,0.078s,PASSED
"nama = verifyElementText(findTestObject(""txt-name""), """")",Chrome 91.0.4472.164,,,2021-07-23 21:26:28,2021-07-23 21:26:28,0.519s,PASSED
"email = verifyElementText(findTestObject(""txt-email""), """")",Chrome 91.0.4472.164,,,2021-07-23 21:26:28,2021-07-23 21:26:29,0.327s,PASSED
"phone = verifyElementText(findTestObject(""txt-phone""), """")",Chrome 91.0.4472.164,,,2021-07-23 21:26:29,2021-07-23 21:26:29,0.440s,PASSED
"city = verifyElementText(findTestObject(""txt-city""), """")",Chrome 91.0.4472.164,,,2021-07-23 21:26:29,2021-07-23 21:26:30,0.535s,PASSED
"alamat = getText(findTestObject(""txt-Address""))",Chrome 91.0.4472.164,,,2021-07-23 21:26:30,2021-07-23 21:26:30,0.317s,PASSED
"verifyElementText(findTestObject(""txt-postal-code""), """")",Chrome 91.0.4472.164,,,2021-07-23 21:26:30,2021-07-23 21:26:30,0.403s,PASSED
,,,,,,,
Test Cases/Midtrans003-Positive,Chrome 91.0.4472.164,,,2021-07-23 21:26:30,2021-07-23 21:26:38,7.879s,PASSED
"click(findTestObject(""btn-checkout""))",Chrome 91.0.4472.164,,,2021-07-23 21:26:31,2021-07-23 21:26:31,0.467s,PASSED
"switchToFrame(findTestObject(""iframe""), 5)",Chrome 91.0.4472.164,,,2021-07-23 21:26:31,2021-07-23 21:26:38,6.716s,PASSED
"verifyMatch(actual, expected, false)",Chrome 91.0.4472.164,,,2021-07-23 21:26:38,2021-07-23 21:26:38,0.004s,PASSED
"verifyMatch(actual, expected, false)",Chrome 91.0.4472.164,,,2021-07-23 21:26:38,2021-07-23 21:26:38,0.004s,PASSED
"click(findTestObject(""Tab-ShippingDetails""))",Chrome 91.0.4472.164,,,2021-07-23 21:26:38,2021-07-23 21:26:38,0.224s,PASSED
"verifyMatch(""nama"", ""nama"", false)",Chrome 91.0.4472.164,,,2021-07-23 21:26:38,2021-07-23 21:26:38,0.004s,PASSED
"verifyMatch(""phone"", ""phone"", false)",Chrome 91.0.4472.164,,,2021-07-23 21:26:38,2021-07-23 21:26:38,0.002s,PASSED
"verifyMatch(""alamat"", ""alamat"", false)",Chrome 91.0.4472.164,,,2021-07-23 21:26:38,2021-07-23 21:26:38,0.004s,PASSED
"verifyMatch(""email"", ""email"", false)",Chrome 91.0.4472.164,,,2021-07-23 21:26:38,2021-07-23 21:26:38,0.003s,PASSED
,,,,,,,
Test Cases/Midtrans004-Positive,Chrome 91.0.4472.164,,,2021-07-23 21:26:38,2021-07-23 21:26:41,2.463s,PASSED
"click(findTestObject(""btn-continue""))",Chrome 91.0.4472.164,,,2021-07-23 21:26:39,2021-07-23 21:26:39,0.223s,PASSED
"click(findTestObject(""btn-creditcard""))",Chrome 91.0.4472.164,,,2021-07-23 21:26:39,2021-07-23 21:26:39,0.325s,PASSED
