Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Midtrans,Chrome 91.0.4472.164,,,2021-07-23 21:51:19,2021-07-23 21:53:26,2m - 6.846s,PASSED
,,,,,,,
Test Cases/Midtrans001-Positive,Chrome 91.0.4472.164,,,2021-07-23 21:51:20,2021-07-23 21:51:29,9.531s,PASSED
"openBrowser("""")",Chrome 91.0.4472.164,,,2021-07-23 21:51:20,2021-07-23 21:51:26,6.050s,PASSED
maximizeWindow(),Chrome 91.0.4472.164,,,2021-07-23 21:51:26,2021-07-23 21:51:27,0.209s,PASSED
navigateToUrl(baseURL),Chrome 91.0.4472.164,,,2021-07-23 21:51:27,2021-07-23 21:51:29,2.418s,PASSED
,,,,,,,
Test Cases/Midtrans002-Positive,Chrome 91.0.4472.164,,,2021-07-23 21:51:29,2021-07-23 21:51:33,4.352s,PASSED
"click(findTestObject(""btn-buy-now""))",Chrome 91.0.4472.164,,,2021-07-23 21:51:30,2021-07-23 21:51:31,0.559s,PASSED
"verifyMatch(actual, expected, false)",Chrome 91.0.4472.164,,,2021-07-23 21:51:31,2021-07-23 21:51:31,0.087s,PASSED
"nama = verifyElementText(findTestObject(""txt-name""), """")",Chrome 91.0.4472.164,,,2021-07-23 21:51:31,2021-07-23 21:51:31,0.627s,PASSED
"email = verifyElementText(findTestObject(""txt-email""), """")",Chrome 91.0.4472.164,,,2021-07-23 21:51:31,2021-07-23 21:51:32,0.369s,PASSED
"phone = verifyElementText(findTestObject(""txt-phone""), """")",Chrome 91.0.4472.164,,,2021-07-23 21:51:32,2021-07-23 21:51:32,0.339s,PASSED
"city = verifyElementText(findTestObject(""txt-city""), """")",Chrome 91.0.4472.164,,,2021-07-23 21:51:32,2021-07-23 21:51:33,0.368s,PASSED
"alamat = getText(findTestObject(""txt-Address""))",Chrome 91.0.4472.164,,,2021-07-23 21:51:33,2021-07-23 21:51:33,0.539s,PASSED
"verifyElementText(findTestObject(""txt-postal-code""), """")",Chrome 91.0.4472.164,,,2021-07-23 21:51:33,2021-07-23 21:51:33,0.374s,PASSED
,,,,,,,
Test Cases/Midtrans003-Positive,Chrome 91.0.4472.164,,,2021-07-23 21:51:33,2021-07-23 21:51:42,8.490s,PASSED
"click(findTestObject(""btn-checkout""))",Chrome 91.0.4472.164,,,2021-07-23 21:51:34,2021-07-23 21:51:35,0.586s,PASSED
"switchToFrame(findTestObject(""iframe""), 5)",Chrome 91.0.4472.164,,,2021-07-23 21:51:35,2021-07-23 21:51:42,7.019s,PASSED
"verifyMatch(actual, expected, false)",Chrome 91.0.4472.164,,,2021-07-23 21:51:42,2021-07-23 21:51:42,0.003s,PASSED
"verifyMatch(actual, expected, false)",Chrome 91.0.4472.164,,,2021-07-23 21:51:42,2021-07-23 21:51:42,0.004s,PASSED
"click(findTestObject(""Tab-ShippingDetails""))",Chrome 91.0.4472.164,,,2021-07-23 21:51:42,2021-07-23 21:51:42,0.251s,PASSED
"verifyMatch(""nama"", ""nama"", false)",Chrome 91.0.4472.164,,,2021-07-23 21:51:42,2021-07-23 21:51:42,0.003s,PASSED
"verifyMatch(""phone"", ""phone"", false)",Chrome 91.0.4472.164,,,2021-07-23 21:51:42,2021-07-23 21:51:42,0.005s,PASSED
"verifyMatch(""alamat"", ""alamat"", false)",Chrome 91.0.4472.164,,,2021-07-23 21:51:42,2021-07-23 21:51:42,0.006s,PASSED
"verifyMatch(""email"", ""email"", false)",Chrome 91.0.4472.164,,,2021-07-23 21:51:42,2021-07-23 21:51:42,0.008s,PASSED
,,,,,,,
Test Cases/Midtrans004-Positive,Chrome 91.0.4472.164,,,2021-07-23 21:51:42,2021-07-23 21:51:45,3.518s,PASSED
"click(findTestObject(""btn-continue""))",Chrome 91.0.4472.164,,,2021-07-23 21:51:42,2021-07-23 21:51:43,0.240s,PASSED
"click(findTestObject(""btn-creditcard""))",Chrome 91.0.4472.164,,,2021-07-23 21:51:43,2021-07-23 21:51:44,0.827s,PASSED
"setText(findTestObject(""txt-cardnumber""), cardnumber)",Chrome 91.0.4472.164,,,2021-07-23 21:51:44,2021-07-23 21:51:44,0.909s,PASSED
"setText(findTestObject(""txt-expiry-date""), expiry)",Chrome 91.0.4472.164,,,2021-07-23 21:51:44,2021-07-23 21:51:45,0.348s,PASSED
"setText(findTestObject(""txt-cvv""), cvv)",Chrome 91.0.4472.164,,,2021-07-23 21:51:45,2021-07-23 21:51:45,0.319s,PASSED
"verifyMatch(email, email, false)",Chrome 91.0.4472.164,,,2021-07-23 21:51:45,2021-07-23 21:51:45,0.003s,PASSED
"verifyMatch(phoneconvert, phoneconvert, false)",Chrome 91.0.4472.164,,,2021-07-23 21:51:45,2021-07-23 21:51:45,0.004s,PASSED
"click(findTestObject(""btn-pay-now""))",Chrome 91.0.4472.164,,,2021-07-23 21:51:45,2021-07-23 21:51:45,0.308s,PASSED
,,,,,,,
Test Cases/Midtrans005-Positive,Chrome 91.0.4472.164,,,2021-07-23 21:51:45,2021-07-23 21:52:25,39.157s,PASSED
"switchToFrame(findTestObject(""iframe - IssuingBank""), 3)",Chrome 91.0.4472.164,,,2021-07-23 21:51:46,2021-07-23 21:51:51,4.179s,PASSED
"setText(findTestObject(""txt-password-issuingBank""), PasswordIssuingBank)",Chrome 91.0.4472.164,,,2021-07-23 21:51:51,2021-07-23 21:51:51,0.198s,PASSED
"click(findTestObject(""btn-ok-issuingbank""))",Chrome 91.0.4472.164,,,2021-07-23 21:51:51,2021-07-23 21:51:52,1.294s,PASSED
waitForPageLoad(3),Chrome 91.0.4472.164,,,2021-07-23 21:51:52,2021-07-23 21:51:52,0.259s,PASSED
"verifyElementPresent(findTestObject(""div_Transaction successful""), 0)",Chrome 91.0.4472.164,,,2021-07-23 21:51:52,2021-07-23 21:51:53,0.654s,PASSED
"verifyElementVisible(findTestObject(""lbl-status-transaction""), STOP_ON_FAILURE)",Chrome 91.0.4472.164,,,2021-07-23 21:51:53,2021-07-23 21:52:25,31.644s,PASSED
,,,,,,,
Test Cases/MidTrans006-Positive,Chrome 91.0.4472.164,,,2021-07-23 21:52:25,2021-07-23 21:52:27,2.758s,PASSED
navigateToUrl(baseURL),Chrome 91.0.4472.164,,,2021-07-23 21:52:25,2021-07-23 21:52:26,0.989s,PASSED
"click(findTestObject(""btn-buy-now""))",Chrome 91.0.4472.164,,,2021-07-23 21:52:26,2021-07-23 21:52:27,0.777s,PASSED
"click(findTestObject(""btn-cancel""))",Chrome 91.0.4472.164,,,2021-07-23 21:52:27,2021-07-23 21:52:27,0.642s,PASSED
,,,,,,,
Test Cases/Midtrans009-Negative,Chrome 91.0.4472.164,,,2021-07-23 21:52:27,2021-07-23 21:52:37,10.036s,PASSED
navigateToUrl(baseURL),Chrome 91.0.4472.164,,,2021-07-23 21:52:29,2021-07-23 21:52:30,1.466s,PASSED
"click(findTestObject(""btn-buy-now""))",Chrome 91.0.4472.164,,,2021-07-23 21:52:30,2021-07-23 21:52:31,0.656s,PASSED
"setText(findTestObject(""txt-amount""), amount)",Chrome 91.0.4472.164,,,2021-07-23 21:52:31,2021-07-23 21:52:32,1.142s,PASSED
"setText(findTestObject(""txt-name""), name)",Chrome 91.0.4472.164,,,2021-07-23 21:52:32,2021-07-23 21:52:33,0.870s,PASSED
"setText(findTestObject(""txt-email""), email)",Chrome 91.0.4472.164,,,2021-07-23 21:52:33,2021-07-23 21:52:34,0.896s,PASSED
"setText(findTestObject(""txt-phone""), phone)",Chrome 91.0.4472.164,,,2021-07-23 21:52:34,2021-07-23 21:52:34,0.883s,PASSED
"setText(findTestObject(""txt-city""), city)",Chrome 91.0.4472.164,,,2021-07-23 21:52:34,2021-07-23 21:52:35,0.904s,PASSED
"setText(findTestObject(""txt-Address""), address)",Chrome 91.0.4472.164,,,2021-07-23 21:52:35,2021-07-23 21:52:36,0.830s,PASSED
"setText(findTestObject(""txt-postal-code""), postal)",Chrome 91.0.4472.164,,,2021-07-23 21:52:36,2021-07-23 21:52:37,0.886s,PASSED
"click(findTestObject(""btn-checkout""))",Chrome 91.0.4472.164,,,2021-07-23 21:52:37,2021-07-23 21:52:37,0.393s,PASSED
"verifyMatch(actual, expected, false)",Chrome 91.0.4472.164,,,2021-07-23 21:52:37,2021-07-23 21:52:37,0.014s,PASSED
,,,,,,,
Test Cases/Midtrans008-Negative,Chrome 91.0.4472.164,,,2021-07-23 21:52:37,2021-07-23 21:52:50,12.702s,PASSED
navigateToUrl(baseURL),Chrome 91.0.4472.164,,,2021-07-23 21:52:38,2021-07-23 21:52:39,0.582s,PASSED
"click(findTestObject(""btn-buy-now""))",Chrome 91.0.4472.164,,,2021-07-23 21:52:39,2021-07-23 21:52:39,0.570s,PASSED
"setText(findTestObject(""txt-amount""), amount)",Chrome 91.0.4472.164,,,2021-07-23 21:52:39,2021-07-23 21:52:40,0.973s,PASSED
"setText(findTestObject(""txt-name""), name)",Chrome 91.0.4472.164,,,2021-07-23 21:52:40,2021-07-23 21:52:42,1.930s,PASSED
"setText(findTestObject(""txt-email""), email)",Chrome 91.0.4472.164,,,2021-07-23 21:52:42,2021-07-23 21:52:43,0.842s,PASSED
"setText(findTestObject(""txt-phone""), phone)",Chrome 91.0.4472.164,,,2021-07-23 21:52:43,2021-07-23 21:52:44,0.760s,PASSED
"setText(findTestObject(""txt-city""), city)",Chrome 91.0.4472.164,,,2021-07-23 21:52:44,2021-07-23 21:52:45,0.710s,PASSED
"setText(findTestObject(""txt-Address""), address)",Chrome 91.0.4472.164,,,2021-07-23 21:52:45,2021-07-23 21:52:46,0.885s,PASSED
"setText(findTestObject(""txt-postal-code""), postal)",Chrome 91.0.4472.164,,,2021-07-23 21:52:46,2021-07-23 21:52:46,0.636s,PASSED
"click(findTestObject(""btn-checkout""))",Chrome 91.0.4472.164,,,2021-07-23 21:52:46,2021-07-23 21:52:47,0.334s,PASSED
"getText(findTestObject(""txt-errormessage""))",Chrome 91.0.4472.164,,,2021-07-23 21:52:47,2021-07-23 21:52:50,3.610s,PASSED
"verifyMatch(actual, expected, false)",Chrome 91.0.4472.164,,,2021-07-23 21:52:50,2021-07-23 21:52:50,0.002s,PASSED
,,,,,,,
Test Cases/Midtrans007-Negative,Chrome 91.0.4472.164,,,2021-07-23 21:52:50,2021-07-23 21:53:04,13.437s,PASSED
navigateToUrl(baseURL),Chrome 91.0.4472.164,,,2021-07-23 21:52:51,2021-07-23 21:52:57,6.062s,PASSED
"click(findTestObject(""btn-buy-now""))",Chrome 91.0.4472.164,,,2021-07-23 21:52:57,2021-07-23 21:52:58,0.703s,PASSED
"setText(findTestObject(""txt-amount""), amount)",Chrome 91.0.4472.164,,,2021-07-23 21:52:58,2021-07-23 21:52:59,1.150s,PASSED
"setText(findTestObject(""txt-name""), name)",Chrome 91.0.4472.164,,,2021-07-23 21:52:59,2021-07-23 21:52:59,0.759s,PASSED
"setText(findTestObject(""txt-email""), email)",Chrome 91.0.4472.164,,,2021-07-23 21:52:59,2021-07-23 21:53:00,0.874s,PASSED
"setText(findTestObject(""txt-phone""), phone)",Chrome 91.0.4472.164,,,2021-07-23 21:53:00,2021-07-23 21:53:01,0.878s,PASSED
"setText(findTestObject(""txt-city""), city)",Chrome 91.0.4472.164,,,2021-07-23 21:53:01,2021-07-23 21:53:02,0.711s,PASSED
"setText(findTestObject(""txt-Address""), address)",Chrome 91.0.4472.164,,,2021-07-23 21:53:02,2021-07-23 21:53:03,0.733s,PASSED
"setText(findTestObject(""txt-postal-code""), postal)",Chrome 91.0.4472.164,,,2021-07-23 21:53:03,2021-07-23 21:53:03,0.647s,PASSED
"click(findTestObject(""btn-checkout""))",Chrome 91.0.4472.164,,,2021-07-23 21:53:03,2021-07-23 21:53:04,0.357s,PASSED
