Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""btn-buy-now""))",Chrome 91.0.4472.164,,,2021-07-23 21:24:09,2021-07-23 21:24:10,0.784s,PASSED
"click(findTestObject(""btn-cancel""))",Chrome 91.0.4472.164,,,2021-07-23 21:24:10,2021-07-23 21:24:11,0.556s,PASSED
,,,,,,,
Test Cases/Midtrans009-Negative,Chrome 91.0.4472.164,,,2021-07-23 21:24:11,2021-07-23 21:24:19,8.807s,PASSED
navigateToUrl(baseURL),Chrome 91.0.4472.164,,,2021-07-23 21:24:12,2021-07-23 21:24:13,1.264s,PASSED
"click(findTestObject(""btn-buy-now""))",Chrome 91.0.4472.164,,,2021-07-23 21:24:13,2021-07-23 21:24:13,0.594s,PASSED
"setText(findTestObject(""txt-amount""), amount)",Chrome 91.0.4472.164,,,2021-07-23 21:24:13,2021-07-23 21:24:14,0.976s,PASSED
"setText(findTestObject(""txt-name""), name)",Chrome 91.0.4472.164,,,2021-07-23 21:24:14,2021-07-23 21:24:15,0.848s,PASSED
"setText(findTestObject(""txt-email""), email)",Chrome 91.0.4472.164,,,2021-07-23 21:24:15,2021-07-23 21:24:16,0.738s,PASSED
"setText(findTestObject(""txt-phone""), phone)",Chrome 91.0.4472.164,,,2021-07-23 21:24:16,2021-07-23 21:24:17,0.637s,PASSED
"setText(findTestObject(""txt-city""), city)",Chrome 91.0.4472.164,,,2021-07-23 21:24:17,2021-07-23 21:24:17,0.657s,PASSED
"setText(findTestObject(""txt-Address""), address)",Chrome 91.0.4472.164,,,2021-07-23 21:24:17,2021-07-23 21:24:18,0.927s,PASSED
"setText(findTestObject(""txt-postal-code""), postal)",Chrome 91.0.4472.164,,,2021-07-23 21:24:18,2021-07-23 21:24:19,0.777s,PASSED
"click(findTestObject(""btn-checkout""))",Chrome 91.0.4472.164,,,2021-07-23 21:24:19,2021-07-23 21:24:19,0.475s,PASSED
"verifyMatch(actual, expected, false)",Chrome 91.0.4472.164,,,2021-07-23 21:24:19,2021-07-23 21:24:19,0.009s,PASSED
,,,,,,,
Test Cases/Midtrans008-Negative,Chrome 91.0.4472.164,,,2021-07-23 21:24:19,2021-07-23 21:24:29,9.538s,PASSED
navigateToUrl(baseURL),Chrome 91.0.4472.164,,,2021-07-23 21:24:20,2021-07-23 21:24:21,0.601s,PASSED
"click(findTestObject(""btn-buy-now""))",Chrome 91.0.4472.164,,,2021-07-23 21:24:21,2021-07-23 21:24:21,0.560s,PASSED
"setText(findTestObject(""txt-amount""), amount)",Chrome 91.0.4472.164,,,2021-07-23 21:24:21,2021-07-23 21:24:22,0.916s,PASSED
"setText(findTestObject(""txt-name""), name)",Chrome 91.0.4472.164,,,2021-07-23 21:24:22,2021-07-23 21:24:24,2.017s,PASSED
"setText(findTestObject(""txt-email""), email)",Chrome 91.0.4472.164,,,2021-07-23 21:24:24,2021-07-23 21:24:25,0.745s,PASSED
"setText(findTestObject(""txt-phone""), phone)",Chrome 91.0.4472.164,,,2021-07-23 21:24:25,2021-07-23 21:24:26,0.808s,PASSED
"setText(findTestObject(""txt-city""), city)",Chrome 91.0.4472.164,,,2021-07-23 21:24:26,2021-07-23 21:24:26,0.655s,PASSED
"setText(findTestObject(""txt-Address""), address)",Chrome 91.0.4472.164,,,2021-07-23 21:24:26,2021-07-23 21:24:27,0.833s,PASSED
"setText(findTestObject(""txt-postal-code""), postal)",Chrome 91.0.4472.164,,,2021-07-23 21:24:27,2021-07-23 21:24:28,0.643s,PASSED
"click(findTestObject(""btn-checkout""))",Chrome 91.0.4472.164,,,2021-07-23 21:24:28,2021-07-23 21:24:28,0.348s,PASSED
"getText(findTestObject(""txt-errormessage""))",Chrome 91.0.4472.164,,,2021-07-23 21:24:28,2021-07-23 21:24:29,0.852s,PASSED
"verifyMatch(actual, expected, false)",Chrome 91.0.4472.164,,,2021-07-23 21:24:29,2021-07-23 21:24:29,0.004s,PASSED
,,,,,,,
Test Cases/Midtrans007-Negative,Chrome 91.0.4472.164,,,2021-07-23 21:24:29,2021-07-23 21:24:37,7.531s,PASSED
navigateToUrl(baseURL),Chrome 91.0.4472.164,,,2021-07-23 21:24:29,2021-07-23 21:24:30,0.601s,PASSED
"click(findTestObject(""btn-buy-now""))",Chrome 91.0.4472.164,,,2021-07-23 21:24:30,2021-07-23 21:24:31,0.597s,PASSED
"setText(findTestObject(""txt-amount""), amount)",Chrome 91.0.4472.164,,,2021-07-23 21:24:31,2021-07-23 21:24:31,0.944s,PASSED
"setText(findTestObject(""txt-name""), name)",Chrome 91.0.4472.164,,,2021-07-23 21:24:31,2021-07-23 21:24:32,0.817s,PASSED
"setText(findTestObject(""txt-email""), email)",Chrome 91.0.4472.164,,,2021-07-23 21:24:32,2021-07-23 21:24:33,0.941s,PASSED
"setText(findTestObject(""txt-phone""), phone)",Chrome 91.0.4472.164,,,2021-07-23 21:24:33,2021-07-23 21:24:34,0.857s,PASSED
"setText(findTestObject(""txt-city""), city)",Chrome 91.0.4472.164,,,2021-07-23 21:24:34,2021-07-23 21:24:35,0.641s,PASSED
"setText(findTestObject(""txt-Address""), address)",Chrome 91.0.4472.164,,,2021-07-23 21:24:35,2021-07-23 21:24:35,0.727s,PASSED
"setText(findTestObject(""txt-postal-code""), postal)",Chrome 91.0.4472.164,,,2021-07-23 21:24:35,2021-07-23 21:24:36,0.674s,PASSED
"click(findTestObject(""btn-checkout""))",Chrome 91.0.4472.164,,,2021-07-23 21:24:36,2021-07-23 21:24:37,0.362s,PASSED
"verifyMatch(actual, expected, false)",Chrome 91.0.4472.164,,,2021-07-23 21:24:37,2021-07-23 21:24:37,0.003s,PASSED
,,,,,,,
